"student_id","site_id","year","frpm","snap","wic","tanf"
"ST00001","S001",2021,0,0,0,0
"ST00002","S001",2021,0,0,0,0
"ST00003","S001",2021,1,0,0,0
"ST00004","S001",2021,0,0,1,0
"ST00005","S001",2021,0,1,1,0
"ST00006","S001",2021,0,0,0,0
"ST00007","S001",2021,0,0,0,0
"ST00008","S001",2021,0,0,0,0
"ST00009","S001",2022,0,0,0,0
"ST00010","S001",2022,0,0,0,0
"ST00011","S001",2022,0,1,0,0
"ST00012","S001",2022,0,0,0,0
"ST00013","S001",2022,0,0,0,0
"ST00014","S001",2022,0,1,1,0
"ST00015","S001",2022,0,0,0,0
"ST00016","S001",2022,0,0,0,0
"ST00017","S001",2022,0,0,0,0
"ST00018","S001",2022,0,0,0,0
"ST00019","S001",2022,0,0,0,0
"ST00020","S001",2022,0,0,0,0
"ST00021","S001",2023,0,0,1,0
"ST00022","S001",2023,0,0,0,0
"ST00023","S001",2023,0,0,0,0
"ST00024","S001",2023,0,0,0,0
"ST00025","S001",2023,0,0,0,0
"ST00026","S001",2023,0,0,0,0
"ST00027","S001",2024,1,0,0,0
"ST00028","S001",2024,0,0,0,0
"ST00029","S001",2024,0,0,0,0
"ST00030","S001",2024,0,0,0,0
"ST00031","S001",2024,0,0,0,0
"ST00032","S001",2024,0,1,0,0
"ST00033","S001",2024,0,1,1,0
"ST00034","S001",2024,0,0,0,0
"ST00035","S001",2024,0,0,0,0
"ST00036","S001",2025,0,0,0,0
"ST00037","S001",2025,0,0,0,0
"ST00038","S001",2025,1,0,0,0
"ST00039","S001",2025,1,0,0,0
"ST00040","S001",2025,0,0,0,0
"ST00041","S001",2025,1,0,0,0
"ST00042","S001",2025,0,0,0,0
"ST00043","S002",2021,1,1,0,0
"ST00044","S002",2021,1,0,0,0
"ST00045","S002",2021,1,0,0,0
"ST00046","S002",2021,0,0,0,0
"ST00047","S002",2021,0,1,0,0
"ST00048","S002",2021,1,1,1,0
"ST00049","S002",2021,1,1,1,0
"ST00050","S002",2022,1,1,0,0
